"","V1"
"OTUD5",20.7971
"TFE3",19.8474
"TBC1D25",3.9941
"ACSL4",6.8426
"INPP5A",7.5198
"GPKOW",17.556
"GRIPAP1",6.4688
"FTSJ1",18.2055
"PRR11",1.5214
"REEP1",4.878
"ATP11A",1.6929
"POLR1A",5.1127
"LAPTM4A",468.2207
"TTC7A",3.1798
"IP6K2",21.2591
"STON1-GTF2A1L",0.004
"SRBD1",4.6943
"KIF2A",1.7388
"RASGRP2",0.4516
"PSME4",12.678
"IFT80",0.9726
"SIRT2",10.7559
"ERLEC1",32.0058
"PPP2R5B",7.5814
"PYGM",0.2426
"PAGE1",0
"PITX1",20.3182
"TRPC7",0.0969
"MAST4",2.6921
"ADGRF5",5.3237
"SDK2",0.2064
"ADAM7",0
"NUP133",13.4793
"NUCKS1",111.9459
"VPS35",12.4788
"DNAJA2",14.417
"BCL3",49.5849
"KCNAB2",0.7315
"ABCC9",0.467
"GAL",1.2038
"CLEC2D",1.2225
"FUNDC1",26.9883
"MAOB",97.9503
"RORA",0.5628
"DRD4",2.5138
"TGFBR3",17.6172
"PLA2G10",0.185
"HES2",1.9713
"ATP1B3",50.2177
"NEDD4",1.7213
"PIGB",1.761
"MAPK6",8.7555
"GNB5",1.3879
"RAB27A",2.6348
"HDHD5",11.9773
"UFD1",9.7148
"LRP6",4.2494
"GUCY2C",0.0664
"SCT",5.6197
"PHRF1",8.5693
"ELP1",1.6692
"NUCB2",32.8516
"PFN2",52.0332
"PTPN3",4.9233
"SPTB",0.0623
"DAPP1",1.5646
"FGF10",0.5027
"SLC44A1",22.0752
"TMEM260",2.2425
"SMG6",0.8424
"EXOC5",3.7392
"CLTCL1",0.2577
"FGF22",0.0188
"FSTL3",14.8828
"DGCR2",32.6606
"RNF126",14.6228
"MNT",1.7326
"ZXDC",4.401
"JMJD6",4.1977
"POLB",5.0818
"ST6GALNAC1",0.0154
"WIPI1",6.3104
"FRMPD1",0.1353
"GBA2",7.4795
"NDST1",16.0626
"ASNS",0.0142
"AP3M2",3.4965
"CNGB1",0.0048
"ST6GALNAC2",0.6371
"CHAT",0
"PABPC1",231.6381
"TESK2",2.4623
"CFAP20",11.0659
"CSNK2A2",2.1242
"PTPN21",0.9862
"EIF2B3",14.7425
"CAMK2A",0.1126
"TCOF1",6.0134
"CDC42",23.338
"OSBPL3",1.3714
"EPHA8",0.6272
"SLC12A3",0.0056
"RAD18",2.2856
"ATP2B1",5.1121
"TRPM5",0.0395
"NCK2",20.6846
"MAP4K4",9.1949
"MGAT4A",8.6454
"RPL31",177.0449
"WDR1",29.6334
"SNX13",1.9614
"MS4A12",0
"ARHGAP10",0.4333
"RPS6KA2",4.7733
"ING3",1.2071
"VASH1",0.5537
"LMCD1",10.9724
"BUD23",14.9254
"SEL1L",13.4766
"TRIP13",5.5166
"ATP6AP1",56.7907
"TCF3",22.656
"TRIB2",21.8224
"DAZAP1",11.0119
"MBD3",4.3091
"PRLH",0.5928
"HLTF",1.6424
"FAM50A",34.1018
"FAM3A",8.3257
"CPSF1",15.709
"MYO3B",0.2808
"CYBRD1",62.8892
"CDH19",0
"PDCD2",13.75
"SLC6A15",0.002
"RDH11",20.8481
"PRKACA",25.6746
"ADGRL1",12.2621
"SPP2",0.0275
"ACTN1",43.9124
"ZFYVE26",2.9086
"RPS6KA6",0.7514
"EPN2",0.8738
"PTPN18",21.8171
"LIMS2",2.4177
"ASIC4",0.0464
"SPEG",0.8436
"LNX1",1.8613
"ALDH3A2",5.2297
"TFRC",65.1353
"SREBF1",35.7825
"TRPC5",0
"AFF4",9.2282
"UBE2D1",5.6611
"MPP5",1.8696
"RHOBTB1",11.3556
"SMC1A",9.0441
"HSD17B10",119.2934
